id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id
7003,1769872704.4975,27.1182,42.9542,0.275879,0.162109,-1.09521,0.801527,-1.03053,-41.1221,HIGH,v5_stream
7004,1769872704.4975,27.1653,45.4198,0.49585,0.104004,-1.04419,-1.22137,-1.80153,-42.3969,HIGH,v5_stream
7005,1769872704.7599,27.1182,36.8855,0.209961,0.0546875,-1.18872,-1.26718,-4.65649,-30.9618,HIGH,v5_stream
7006,1769872704.7599,27.0241,22.8855,0.407959,0.108154,-1.12012,-2.0229,-5.00763,-15.855,HIGH,v5_stream
7007,1769872704.7599,27.1182,8.77099,0.501221,0.119873,-1.08765,-1.85496,3.48092,-3.43511,HIGH,v5_stream
7008,1769872704.7599,27.1182,9.74809,0.489014,0.0585938,-1.12036,-2.50382,3.67176,3.57252,HIGH,v5_stream
7009,1769872705.7599,27.2124,10.6718,0.37207,0.111084,-1.09082,-1.90076,-0.938931,7.83206,HIGH,v5_stream
7010,1769872706.0442,27.0712,19.5649,0.0891113,0.0012207,-1.04834,-0.70229,12.8168,6.0458,HIGH,v5_stream
7011,1769872706.0442,27.0241,4.71756,0.0371094,0.111328,-1.1106,-0.290076,-2.54962,-1.87786,HIGH,v5_stream
7012,1769872706.0442,27.0241,10.6031,0.0957031,0.147949,-1.06177,1.80153,-0.419847,-8.38168,HIGH,v5_stream
7013,1769872707.0442,27.0241,15.0763,0.131836,0.103027,-1.09497,1.69466,2.70229,-10.6794,HIGH,v5_stream
7014,1769872707.0442,27.0712,13.0153,0.222168,0.364014,-1.05713,1.84733,-1.10687,-10.0611,HIGH,v5_stream
7015,1769872707.3241,27.0712,9.74046,0.0563965,0.0837402,-1.13916,-0.0839695,-0.564885,9.0916,HIGH,v5_stream
7016,1769872708.3241,27.1182,3.18321,0.162842,-0.0769043,-1.11768,-0.717557,-1.0916,1.37405,HIGH,v5_stream
7017,1769872708.3241,27.0712,8.33588,0.237549,0.223145,-1.11328,2.35115,1.34351,-4.64122,HIGH,v5_stream
7018,1769872708.3241,27.1182,9.36641,0.263428,0.245117,-1.05127,2.14504,-1.38931,-5.83206,HIGH,v5_stream
7019,1769872708.3241,27.0241,5.9084,0.361328,0.153809,-1.05591,0.0229008,-1.40458,-4.48092,HIGH,v5_stream
7020,1769872709.6371,27.0241,38.9847,-0.173584,0.0432129,-1.02466,-0.977099,9.1145,28.8931,HIGH,v5_stream
7021,1769872709.6371,27.1182,27.5496,-0.0466309,0.057373,-1.17236,-2.90076,-3.85496,20.7939,HIGH,v5_stream
7022,1769872709.6371,27.1182,11.9924,0.291016,0.125,-1.02075,-0.480916,1.59542,9.91603,HIGH,v5_stream
7023,1769872709.6371,27.1182,5.00763,0.431396,0.015625,-1.12036,-0.832061,1.07634,3.09924,HIGH,v5_stream
7024,1769872709.6371,27.1182,9.67176,0.450439,0.0803223,-1.12329,-2.71756,-4.96183,-1.99237,HIGH,v5_stream
7025,1769872711.3563,27.0712,35.8397,0.512695,-0.188477,-1.05737,-5.48092,1.9313,28.4275,HIGH,v5_stream
7026,1769872711.3563,27.2124,42.7481,0.546143,-0.0119629,-1.02856,-1.78626,4.23664,36.7252,HIGH,v5_stream
7027,1769872711.3563,27.0241,42.7557,0.617676,-0.152832,-1.02979,0.152672,1.41985,41.1832,HIGH,v5_stream
7028,1769872711.3563,26.9771,46.2366,0.404297,-0.181396,-1.07568,-0.839695,3.80153,41.5954,HIGH,v5_stream
7029,1769872712.3563,26.9771,47.9389,-0.00585938,-0.0717774,-1.03882,-0.221374,8.57252,39.145,HIGH,v5_stream
7030,1769872713.6386,27.0712,7.9313,0.313965,-0.0722656,-1.09277,-1.67176,-0.244275,-6.01527,HIGH,v5_stream
7031,1769872713.6386,27.0712,7.41221,0.286377,-0.29248,-1.14966,-3.10687,0.419847,-3.8855,HIGH,v5_stream
7032,1769872713.6386,27.1182,4.78626,0.319092,-0.287842,-1.10938,-2.75573,1.49618,0.534351,HIGH,v5_stream
7033,1769872713.6386,27.0241,8.31298,0.300781,-0.275635,-1.06909,-0.435115,2.50382,5.37405,HIGH,v5_stream
7034,1769872713.6386,27.0712,7.67939,0.354736,-0.397217,-1.06812,0.0610687,4.66412,2.9542,HIGH,v5_stream
7035,1769872713.9487,27.1653,20.7405,0.458496,-0.365234,-1.09497,-2.56489,-0.992366,-17.1832,HIGH,v5_stream
7036,1769872713.9487,27.1182,8.24427,0.519531,-0.105225,-1.02515,0.839695,0.755725,-6.64885,HIGH,v5_stream
7037,1769872713.9487,27.0241,7.55725,0.529541,-0.16333,-1.01343,1.89313,4.18321,-1.48092,HIGH,v5_stream
7038,1769872714.9487,27.0712,6.48855,0.296143,-0.203125,-1.06836,1.66412,4.58015,0.244275,HIGH,v5_stream
7039,1769872714.9487,27.1653,17.1985,-0.0197754,0.0209961,-1.00073,3.0916,7.03817,-7.0687,HIGH,v5_stream
7040,1769872715.1977,26.9771,18.0076,0.036377,0.118896,-1.01489,3.70229,7.69466,-6.61069,HIGH,v5_stream
7041,1769872715.1977,27.0241,25.6565,0.181396,-0.015625,-1.1626,0.70229,-3.06107,-21.8931,HIGH,v5_stream
7042,1769872716.1977,27.1653,38.8855,0.342285,0.0859375,-1.12231,-0.0610687,0.78626,-38.0382,HIGH,v5_stream
7043,1769872716.1977,27.0241,44.2061,0.461182,0.280273,-1.06934,-0.335878,-4.08397,-39.7863,HIGH,v5_stream
7044,1769872716.1977,27.0712,36.1679,0.315186,0.00683594,-1.14014,0.0992366,-0.610687,-35.458,HIGH,v5_stream
7045,1769872716.4888,27.0712,9.37405,0.543457,0.0249023,-1.09692,-1.89313,2.22901,-5.25191,HIGH,v5_stream
7046,1769872717.4888,27.0241,5.96183,0.464844,-0.00244141,-1.06006,-1.70229,-0.793893,3.46565,HIGH,v5_stream
7047,1769872717.4888,27.0241,8.62595,0.341553,0.00732422,-1.10107,-0.480916,2.29771,5.84733,HIGH,v5_stream
7048,1769872717.4888,27.1653,9.12214,0.102539,-0.050293,-1.07007,0.129771,8.69466,0.29771,HIGH,v5_stream
7049,1769872717.4888,27.2124,15.3817,0.134521,0.0966797,-1.1377,0.534351,-2.94656,-11.9008,HIGH,v5_stream
7050,1769872717.7878,27.0712,5.22137,0.0212402,0.0654297,-1.16309,0.580153,-0.885496,-3.75573,HIGH,v5_stream
7051,1769872717.7878,27.1182,12.2061,0.188232,0.0205078,-1.14844,-0.0458015,0.465649,-11.6947,HIGH,v5_stream
7052,1769872717.7878,27.1182,15.8626,0.182373,0.385742,-1.07446,1.91603,-0.358779,-13.5878,HIGH,v5_stream
7053,1769872717.7878,27.0241,16.2748,0.395752,0.28833,-1.02808,1.42748,-1.54198,-13.3053,HIGH,v5_stream
7054,1769872718.7878,27.1182,11.0611,0.304443,0.122314,-1.09521,0.0229008,-1.1374,-9.90076,HIGH,v5_stream
7055,1769872719.0496,27.0241,10.5954,0.357178,0.265625,-1.05103,1.70229,-1.43511,-7.45802,HIGH,v5_stream
7056,1769872719.0496,27.1653,9.93893,0.205078,0.172363,-1.10083,1.07634,-0.694656,-8.16794,HIGH,v5_stream
