id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id,timestamp_iso
278,1769901680.6558,28.2006,13.2824,0.299316,0.15332,-1.07959,0.412214,-0.847328,-12.0229,LOW,v5_stream,2026-01-31T23:21:20.655800Z
275,1769901680.8235,28.2947,13.7939,0.281982,0.106445,-1.0957,0.40458,-3.43511,-9.9542,LOW,v5_stream,2026-01-31T23:21:20.823499Z
281,1769901681.5255,28.3418,2.35115,0.226318,0.125,-1.07642,0.557252,-0.984733,-0.80916,LOW,v5_stream,2026-01-31T23:21:21.525500Z
282,1769901681.7255,28.2476,7.8626,0.180176,0.0759277,-1.13501,-1.65649,1.74046,4.46565,LOW,v5_stream,2026-01-31T23:21:21.725500Z
279,1769901681.8558,28.2947,5.69466,0.190918,0.0488281,-1.10327,-0.564885,0.122137,5.00763,LOW,v5_stream,2026-01-31T23:21:21.855799Z
280,1769901682.0558,28.2947,7.25191,0.296875,0.156006,-1.07397,-1.29771,2.78626,-3.16794,LOW,v5_stream,2026-01-31T23:21:22.055799Z
283,1769901682.9255,28.2006,5.0,0.339844,0.145996,-1.07349,-1.77863,2.30534,-0.916031,LOW,v5_stream,2026-01-31T23:21:22.925499Z
284,1769901683.1255,28.3418,1.80916,0.302002,0.158691,-1.05908,-0.0687023,-0.648855,-1.0916,LOW,v5_stream,2026-01-31T23:21:23.125499Z
285,1769901683.3255,28.3418,8.03053,0.169678,0.0895996,-1.11523,-1.30534,0.290076,6.43511,LOW,v5_stream,2026-01-31T23:21:23.325500Z
286,1769901683.7664,28.2947,10.0382,0.217773,0.152588,-1.12866,-0.267176,-3.52672,6.24427,LOW,v5_stream,2026-01-31T23:21:23.766400Z
287,1769901683.9664,28.2006,21.8092,0.266357,0.0161133,-1.06982,-1.21374,3.94656,16.6489,LOW,v5_stream,2026-01-31T23:21:23.966399Z
291,1769901684.0293,28.3888,13.1145,0.317383,0.0966797,-1.06787,-1.33588,-1.58015,10.1985,LOW,v5_stream,2026-01-31T23:21:24.029299Z
288,1769901684.1664,28.2006,4.10687,0.337402,0.111328,-1.05469,-1.67939,0.366412,2.06107,LOW,v5_stream,2026-01-31T23:21:24.166399Z
292,1769901684.2293,28.2947,26.0992,0.229004,0.0776367,-1.07031,-0.557252,0.770992,24.771,LOW,v5_stream,2026-01-31T23:21:24.229300Z
289,1769901684.3664,28.2947,17.2977,0.249023,0.176514,-1.11987,-0.274809,-3.19847,13.8244,LOW,v5_stream,2026-01-31T23:21:24.366400Z
293,1769901684.4293,28.2476,19.9847,0.31958,0.000976562,-1.07715,-2.35878,1.94656,15.6794,LOW,v5_stream,2026-01-31T23:21:24.429300Z
290,1769901684.5664,28.3418,26.6183,0.267578,-0.0144043,-1.08887,-1.40458,3.77863,21.4351,LOW,v5_stream,2026-01-31T23:21:24.566400Z
294,1769901684.6293,28.2476,13.4198,0.367432,0.076416,-1.0752,-2.05344,-1.54962,9.81679,LOW,v5_stream,2026-01-31T23:21:24.629300Z
296,1769901685.3,28.2006,10.5802,0.338623,0.00219727,-1.06592,-2.37405,-1.59542,6.61069,LOW,v5_stream,2026-01-31T23:21:25.299999Z
